,Total  Estimate  Population 25 years and over,Total  Estimate  Less than 9th grade,"Total  Estimate  9th to 12th grade, no diploma",Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  Some college or associate's degree,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,"Total  Estimate  Some college, no degree",Total  Estimate  Associate's degree,Total  Estimate  Bachelor's degree,Total  Estimate  Graduate or professional degree,Total  Estimate  Percent high school graduate or higher,Total  Estimate  Percent bachelor's degree or higher,Name,tract
61,3011,0,3.5,17.4,8.6,17.4,8.6,16.3,66.3,85.3,65.7,49,38.8,66.3,85.3,65.7,49,38.8,66.3,85.3,65.7,49,38.8,66.3,85.3,65.7,49,38.8,66.3,85.3,65.7,49,38.8,17,5.6,39.3,26.1,96.5,65.3,"Census Tract 169, San Francisco County, California",169.0
62,3183,0,3.1,49,3,49,3,0,37,95.6,75.8,80.4,71.2,37,95.6,75.8,80.4,71.2,37,95.6,75.8,80.4,71.2,37,95.6,75.8,80.4,71.2,37,95.6,75.8,80.4,71.2,9.8,3.3,43.2,37.6,96.9,80.8,"Census Tract 170, San Francisco County, California",170.0
63,2857,0,1,0,4.4,0,4.4,15.1,73.7,81.5,85.3,78.6,61,73.7,81.5,85.3,78.6,61,73.7,81.5,85.3,78.6,61,73.7,81.5,85.3,78.6,61,73.7,81.5,85.3,78.6,61,12.3,3.2,42.8,36.4,99,79.2,"Census Tract 171.01, San Francisco County, California",171.01
64,3386,0,0.3,8.6,4.9,8.6,4.9,6.8,77.1,84.6,62.4,89.9,67.3,77.1,84.6,62.4,89.9,67.3,77.1,84.6,62.4,89.9,67.3,77.1,84.6,62.4,89.9,67.3,77.1,84.6,62.4,89.9,67.3,12.2,3.4,55.1,24.2,99.7,79.3,"Census Tract 171.02, San Francisco County, California",171.02
65,4552,5.7,10.1,13.3,20.5,13.3,20.5,48.9,17.7,58.1,27.3,18.8,3.3,17.7,58.1,27.3,18.8,3.3,17.7,58.1,27.3,18.8,3.3,17.7,58.1,27.3,18.8,3.3,17.7,58.1,27.3,18.8,3.3,26.3,8.1,19.6,9.6,84.1,29.2,"Census Tract 176.01, San Francisco County, California",176.01
66,1252,13.3,4.2,27.6,10.5,27.6,10.5,0,17.1,63.2,56.5,36,13.3,17.1,63.2,56.5,36,13.3,17.1,63.2,56.5,36,13.3,17.1,63.2,56.5,36,13.3,17.1,63.2,56.5,36,13.3,13.8,12.9,24.3,21,82.6,45.3,"Census Tract 177, San Francisco County, California",177.0
67,2829,17.7,13.2,0,10.8,0,10.8,0,100,88.7,79.5,78.3,14.8,100,88.7,79.5,78.3,14.8,100,88.7,79.5,78.3,14.8,100,88.7,79.5,78.3,14.8,100,88.7,79.5,78.3,14.8,9.5,4.7,24.1,20.1,69.1,44.2,"Census Tract 178.01, San Francisco County, California",178.01
68,3055,5,10.8,10.2,14,10.2,14,35,46.8,62.7,39.5,29.3,15.5,46.8,62.7,39.5,29.3,15.5,46.8,62.7,39.5,29.3,15.5,46.8,62.7,39.5,29.3,15.5,46.8,62.7,39.5,29.3,15.5,21,4.6,31.6,12.9,84.2,44.5,"Census Tract 178.02, San Francisco County, California",178.02
69,1418,1.3,3.2,14.2,22.7,14.2,22.7,47.3,38.5,39.6,35.3,24.2,37,38.5,39.6,35.3,24.2,37,38.5,39.6,35.3,24.2,37,38.5,39.6,35.3,24.2,37,38.5,39.6,35.3,24.2,37,22.8,15.7,22.1,12.1,95.4,34.3,"Census Tract 179.02, San Francisco County, California",179.02
70,2922,7.9,15.4,19.4,17.6,19.4,17.6,41.5,10.7,60.7,44.3,24.5,9.8,10.7,60.7,44.3,24.5,9.8,10.7,60.7,44.3,24.5,9.8,10.7,60.7,44.3,24.5,9.8,10.7,60.7,44.3,24.5,9.8,10.7,5.6,27.2,15.6,76.8,42.8,"Census Tract 180, San Francisco County, California",180.0
71,4721,21.5,9,16.7,15.1,16.7,15.1,39.3,6,60.7,26.1,28.8,18.4,6,60.7,26.1,28.8,18.4,6,60.7,26.1,28.8,18.4,6,60.7,26.1,28.8,18.4,6,60.7,26.1,28.8,18.4,13.9,5.8,23.2,11.5,69.5,34.7,"Census Tract 201, San Francisco County, California",201.0
72,4449,8,3.1,31.3,11.7,31.3,11.7,24.2,41.6,70.6,66.9,38,22.9,41.6,70.6,66.9,38,22.9,41.6,70.6,66.9,38,22.9,41.6,70.6,66.9,38,22.9,41.6,70.6,66.9,38,22.9,14.6,8,37.1,17.3,88.8,54.5,"Census Tract 202, San Francisco County, California",202.0
73,2594,1.1,2.2,0,5.8,0,5.8,0,90.7,75.8,79.9,59.1,44.1,90.7,75.8,79.9,59.1,44.1,90.7,75.8,79.9,59.1,44.1,90.7,75.8,79.9,59.1,44.1,90.7,75.8,79.9,59.1,44.1,14.5,7.2,42.3,26.8,96.7,69.2,"Census Tract 203, San Francisco County, California",203.0
74,2339,0.7,0.4,0,4.9,0,4.9,57,43,95.5,72.9,65.1,82.6,43,95.5,72.9,65.1,82.6,43,95.5,72.9,65.1,82.6,43,95.5,72.9,65.1,82.6,43,95.5,72.9,65.1,82.6,7.2,10.2,39,37.6,98.8,76.6,"Census Tract 204.01, San Francisco County, California",204.01
75,3591,0,2.5,21.9,9.2,21.9,9.2,32.3,45.8,72.9,83.1,56.5,29.1,45.8,72.9,83.1,56.5,29.1,45.8,72.9,83.1,56.5,29.1,45.8,72.9,83.1,56.5,29.1,45.8,72.9,83.1,56.5,29.1,18.1,6.3,39.4,24.5,97.5,63.9,"Census Tract 204.02, San Francisco County, California",204.02
76,2133,0.9,1.7,0,7.4,0,7.4,23,68.9,57.9,83.7,67.6,37.9,68.9,57.9,83.7,67.6,37.9,68.9,57.9,83.7,67.6,37.9,68.9,57.9,83.7,67.6,37.9,68.9,57.9,83.7,67.6,37.9,18.2,2.7,43.6,25.4,97.3,69.1,"Census Tract 205, San Francisco County, California",205.0
77,4414,0.5,1.6,12.4,6.2,12.4,6.2,48.8,38.8,86.9,82.2,75.3,60,38.8,86.9,82.2,75.3,60,38.8,86.9,82.2,75.3,60,38.8,86.9,82.2,75.3,60,38.8,86.9,82.2,75.3,60,8.4,4.4,42.9,36.1,98,79,"Census Tract 206, San Francisco County, California",206.0
78,5106,5.5,2.7,22.5,12.5,22.5,12.5,44.9,32.6,78.2,72.7,61.1,10.4,32.6,78.2,72.7,61.1,10.4,32.6,78.2,72.7,61.1,10.4,32.6,78.2,72.7,61.1,10.4,32.6,78.2,72.7,61.1,10.4,11.4,1.8,39,27.2,91.8,66.2,"Census Tract 207, San Francisco County, California",207.0
79,5458,12.3,15.4,27.4,19.7,27.4,19.7,23.5,13.8,48.9,44.9,17.8,29.9,13.8,48.9,44.9,17.8,29.9,13.8,48.9,44.9,17.8,29.9,13.8,48.9,44.9,17.8,29.9,13.8,48.9,44.9,17.8,29.9,10.6,3.6,24.5,14,72.4,38.5,"Census Tract 208, San Francisco County, California",208.0
80,3612,11.7,7.6,31.8,15.9,31.8,15.9,43.6,13.3,69,42.9,35.2,9.2,13.3,69,42.9,35.2,9.2,13.3,69,42.9,35.2,9.2,13.3,69,42.9,35.2,9.2,13.3,69,42.9,35.2,9.2,11.8,3.3,32.5,17.1,80.7,49.6,"Census Tract 209, San Francisco County, California",209.0
81,3669,4,2.6,0,5.5,0,5.5,80.6,19.4,80.1,83.2,70,58.4,19.4,80.1,83.2,70,58.4,19.4,80.1,83.2,70,58.4,19.4,80.1,83.2,70,58.4,19.4,80.1,83.2,70,58.4,9.6,3.2,46.3,28.8,93.4,75.1,"Census Tract 210, San Francisco County, California",210.0
82,3573,0.8,1.8,0,4.8,0,4.8,17.4,82.6,85.6,83.8,80.3,63.1,82.6,85.6,83.8,80.3,63.1,82.6,85.6,83.8,80.3,63.1,82.6,85.6,83.8,80.3,63.1,82.6,85.6,83.8,80.3,63.1,9,2.3,35.7,45.6,97.3,81.3,"Census Tract 211, San Francisco County, California",211.0
83,2276,1.3,1.8,16.7,3.2,16.7,3.2,28,39.4,88.9,93.7,79.1,45.9,39.4,88.9,93.7,79.1,45.9,39.4,88.9,93.7,79.1,45.9,39.4,88.9,93.7,79.1,45.9,39.4,88.9,93.7,79.1,45.9,9,3.3,37.4,44,96.9,81.4,"Census Tract 212, San Francisco County, California",212.0
84,2102,0.8,0.6,15.5,4.6,15.5,4.6,51.2,33.3,71.1,84.4,71.3,54.7,33.3,71.1,84.4,71.3,54.7,33.3,71.1,84.4,71.3,54.7,33.3,71.1,84.4,71.3,54.7,33.3,71.1,84.4,71.3,54.7,16.6,4.2,36.2,37.1,98.6,73.3,"Census Tract 213, San Francisco County, California",213.0
85,2783,0.8,2,16.1,5.3,16.1,5.3,17.4,66.5,89.7,88,66.8,46.6,66.5,89.7,88,66.8,46.6,66.5,89.7,88,66.8,46.6,66.5,89.7,88,66.8,46.6,66.5,89.7,88,66.8,46.6,10.5,3.4,39.6,38.4,97.2,78,"Census Tract 214, San Francisco County, California",214.0
86,4185,1.1,2.5,39.5,10,39.5,10,20.7,30.7,77.2,68.4,76.3,13.1,30.7,77.2,68.4,76.3,13.1,30.7,77.2,68.4,76.3,13.1,30.7,77.2,68.4,76.3,13.1,30.7,77.2,68.4,76.3,13.1,14.7,3.4,34.2,34,96.4,68.2,"Census Tract 215, San Francisco County, California",215.0
87,3304,0.5,1.7,20.3,7.4,20.3,7.4,67.2,12.5,77,70.4,61.7,55.2,12.5,77,70.4,61.7,55.2,12.5,77,70.4,61.7,55.2,12.5,77,70.4,61.7,55.2,12.5,77,70.4,61.7,55.2,13.6,11.1,26.4,39.3,97.8,65.7,"Census Tract 216, San Francisco County, California",216.0
88,3155,1.5,5.1,46.4,12.4,46.4,12.4,2.8,6.7,75,84.7,65.3,52.1,6.7,75,84.7,65.3,52.1,6.7,75,84.7,65.3,52.1,6.7,75,84.7,65.3,52.1,6.7,75,84.7,65.3,52.1,9.4,4.5,29.9,37.3,93.5,67.2,"Census Tract 217, San Francisco County, California",217.0
89,3477,0.2,3.2,20.8,11.5,20.8,11.5,35.3,43.9,65.5,77.8,65.4,47.2,43.9,65.5,77.8,65.4,47.2,43.9,65.5,77.8,65.4,47.2,43.9,65.5,77.8,65.4,47.2,43.9,65.5,77.8,65.4,47.2,10.8,7.6,32.6,34.2,96.6,66.7,"Census Tract 218, San Francisco County, California",218.0
90,1182,0,1.4,0,0.7,0,0.7,60,40,85.9,91.2,73.9,38.5,40,85.9,91.2,73.9,38.5,40,85.9,91.2,73.9,38.5,40,85.9,91.2,73.9,38.5,40,85.9,91.2,73.9,38.5,11.4,3.5,53,30,98.6,83.1,"Census Tract 226, San Francisco County, California",226.0
91,1754,0.5,0,39.5,4.3,39.5,4.3,29.5,31,96.8,89.3,75.4,51,31,96.8,89.3,75.4,51,31,96.8,89.3,75.4,51,31,96.8,89.3,75.4,51,31,96.8,89.3,75.4,51,11.7,0.2,44.8,38.6,99.5,83.4,"Census Tract 227.02, San Francisco County, California",227.02
92,2722,0.2,1.8,36.8,7.6,36.8,7.6,28,35.2,87.8,87.2,67.8,46.1,35.2,87.8,87.2,67.8,46.1,35.2,87.8,87.2,67.8,46.1,35.2,87.8,87.2,67.8,46.1,35.2,87.8,87.2,67.8,46.1,12.2,1.7,38.4,38,98,76.5,"Census Tract 227.04, San Francisco County, California",227.04
93,3247,14.7,4.4,50.4,17.2,50.4,17.2,19.8,7.8,61.5,42.5,45.4,31.4,7.8,61.5,42.5,45.4,31.4,7.8,61.5,42.5,45.4,31.4,7.8,61.5,42.5,45.4,31.4,7.8,61.5,42.5,45.4,31.4,11.7,3,29.9,19,80.8,48.9,"Census Tract 228.01, San Francisco County, California",228.01
94,1758,7,8.1,43.3,28.9,43.3,28.9,33.2,23.6,44.4,58.9,29.4,19.3,23.6,44.4,58.9,29.4,19.3,23.6,44.4,58.9,29.4,19.3,23.6,44.4,58.9,29.4,19.3,23.6,44.4,58.9,29.4,19.3,11.8,5.1,28.7,10.5,84.9,39.1,"Census Tract 228.02, San Francisco County, California",228.02
95,3528,11.6,13.9,30.2,20.7,30.2,20.7,24.2,7.8,43.8,45.2,28.4,12.8,7.8,43.8,45.2,28.4,12.8,7.8,43.8,45.2,28.4,12.8,7.8,43.8,45.2,28.4,12.8,7.8,43.8,45.2,28.4,12.8,11,6.2,25.4,11.3,74.6,36.7,"Census Tract 228.03, San Francisco County, California",228.03
96,2993,12.8,6.1,44.6,24.1,44.6,24.1,33.3,9,65.8,55.2,14.6,16.2,9,65.8,55.2,14.6,16.2,9,65.8,55.2,14.6,16.2,9,65.8,55.2,14.6,16.2,9,65.8,55.2,14.6,16.2,10,1.8,26.6,18.7,81.2,45.3,"Census Tract 229.01, San Francisco County, California",229.01
97,1807,14.1,12.7,39,28.7,39,28.7,28.6,5.8,20.8,28.6,21.7,8.6,5.8,20.8,28.6,21.7,8.6,5.8,20.8,28.6,21.7,8.6,5.8,20.8,28.6,21.7,8.6,5.8,20.8,28.6,21.7,8.6,11,12.2,11.3,10,73.2,21.3,"Census Tract 229.02, San Francisco County, California",229.02
98,2127,13.4,9.5,12.3,14.6,12.3,14.6,43.1,21.5,52.5,47.3,37.5,19.6,21.5,52.5,47.3,37.5,19.6,21.5,52.5,47.3,37.5,19.6,21.5,52.5,47.3,37.5,19.6,21.5,52.5,47.3,37.5,19.6,12.4,7.1,26.5,16.6,77.2,43.1,"Census Tract 229.03, San Francisco County, California",229.03
99,3501,15.8,12.6,49.8,34,49.8,34,40.2,3.5,27.6,27.5,4.6,6.2,3.5,27.6,27.5,4.6,6.2,3.5,27.6,27.5,4.6,6.2,3.5,27.6,27.5,4.6,6.2,3.5,27.6,27.5,4.6,6.2,20,5.1,10.1,2.4,71.6,12.5,"Census Tract 230.01, San Francisco County, California",230.01
100,2652,12.9,11.6,33.1,24.1,33.1,24.1,48.8,8.4,29.4,27.4,18.4,14.3,8.4,29.4,27.4,18.4,14.3,8.4,29.4,27.4,18.4,14.3,8.4,29.4,27.4,18.4,14.3,8.4,29.4,27.4,18.4,14.3,22.6,7.2,12.5,9.1,75.5,21.6,"Census Tract 230.03, San Francisco County, California",230.03
101,2178,13.5,8.7,12,27.7,12,27.7,41.5,0,23.1,11.8,9.3,31.7,0,23.1,11.8,9.3,31.7,0,23.1,11.8,9.3,31.7,0,23.1,11.8,9.3,31.7,0,23.1,11.8,9.3,31.7,27.3,5.6,9.9,7.3,77.9,17.2,"Census Tract 231.02, San Francisco County, California",231.02
102,1616,7.1,17.8,33.5,29.8,33.5,29.8,38.6,3,15.6,19.1,10.9,5.8,3,15.6,19.1,10.9,5.8,3,15.6,19.1,10.9,5.8,3,15.6,19.1,10.9,5.8,3,15.6,19.1,10.9,5.8,23.3,7.5,12.4,2.2,75.1,14.5,"Census Tract 231.03, San Francisco County, California",231.03
103,2688,16,14.5,33.2,21.5,33.2,21.5,56.8,2.8,10.1,12.7,17.6,11.9,2.8,10.1,12.7,17.6,11.9,2.8,10.1,12.7,17.6,11.9,2.8,10.1,12.7,17.6,11.9,2.8,10.1,12.7,17.6,11.9,26.3,7.4,9.4,4.9,69.5,14.3,"Census Tract 232, San Francisco County, California",232.0
104,1858,15.4,19.5,11.2,15.7,11.2,15.7,37.2,22.1,33.5,8.8,11,0,22.1,33.5,8.8,11,0,22.1,33.5,8.8,11,0,22.1,33.5,8.8,11,0,22.1,33.5,8.8,11,0,27.4,8.2,8.8,5.1,65.1,13.8,"Census Tract 233, San Francisco County, California",233.0
105,2199,24.7,17.2,40.1,25.6,40.1,25.6,54.1,0,17.9,10,7.8,2,0,17.9,10,7.8,2,0,17.9,10,7.8,2,0,17.9,10,7.8,2,0,17.9,10,7.8,2,18.8,3.9,6.8,2.9,58.1,9.7,"Census Tract 234, San Francisco County, California",234.0
106,2521,1.8,1,12,11.3,12,11.3,45.9,42.1,73.5,77.6,64.7,51.3,42.1,73.5,77.6,64.7,51.3,42.1,73.5,77.6,64.7,51.3,42.1,73.5,77.6,64.7,51.3,42.1,73.5,77.6,64.7,51.3,11.7,5.5,35.2,33.6,97.3,68.8,"Census Tract 251, San Francisco County, California",251.0
107,3914,3.3,9.5,13.9,11.2,13.9,11.2,46.7,0,46.7,84.2,55.4,15.1,0,46.7,84.2,55.4,15.1,0,46.7,84.2,55.4,15.1,0,46.7,84.2,55.4,15.1,0,46.7,84.2,55.4,15.1,15.6,3.3,25.4,31.7,87.2,57.1,"Census Tract 252, San Francisco County, California",252.0
108,3806,3.6,8.7,18.3,20.6,18.3,20.6,43.7,35.2,55,71.3,35.5,33.3,35.2,55,71.3,35.5,33.3,35.2,55,71.3,35.5,33.3,35.2,55,71.3,35.5,33.3,35.2,55,71.3,35.5,33.3,14.2,2.5,30.2,20.2,87.7,50.4,"Census Tract 253, San Francisco County, California",253.0
109,2792,12.9,5.7,12.8,15.9,12.8,15.9,37.8,41,39.2,64.8,52.2,15.8,41,39.2,64.8,52.2,15.8,41,39.2,64.8,52.2,15.8,41,39.2,64.8,52.2,15.8,41,39.2,64.8,52.2,15.8,10.1,8.1,27.2,20.1,81.3,47.2,"Census Tract 254.01, San Francisco County, California",254.01
110,2169,6,1.5,27.2,15.3,27.2,15.3,48.8,3.8,67,61.5,58.3,25.8,3.8,67,61.5,58.3,25.8,3.8,67,61.5,58.3,25.8,3.8,67,61.5,58.3,25.8,3.8,67,61.5,58.3,25.8,14.3,7.4,34.7,20.8,92.4,55.5,"Census Tract 254.02, San Francisco County, California",254.02
111,3421,9.3,11.5,23.3,20.3,23.3,20.3,56.5,5.3,26.8,60.8,31.4,7.8,5.3,26.8,60.8,31.4,7.8,5.3,26.8,60.8,31.4,7.8,5.3,26.8,60.8,31.4,7.8,5.3,26.8,60.8,31.4,7.8,21.9,2.7,26.2,8.2,79.2,34.4,"Census Tract 254.03, San Francisco County, California",254.03
112,5775,15.6,4.4,24.9,20.1,24.9,20.1,55.6,8.8,60.3,39.6,28.3,17.5,8.8,60.3,39.6,28.3,17.5,8.8,60.3,39.6,28.3,17.5,8.8,60.3,39.6,28.3,17.5,8.8,60.3,39.6,28.3,17.5,16.9,7.3,27.4,8.2,80,35.6,"Census Tract 255, San Francisco County, California",255.0
113,3950,18.9,11.3,16,24.2,16,24.2,71.6,5.4,25.9,34.9,19.8,11.3,5.4,25.9,34.9,19.8,11.3,5.4,25.9,34.9,19.8,11.3,5.4,25.9,34.9,19.8,11.3,5.4,25.9,34.9,19.8,11.3,16.2,7.7,16.5,5.3,69.8,21.8,"Census Tract 256, San Francisco County, California",256.0
114,3135,16.4,9,29.4,31.8,29.4,31.8,50,16.4,29.7,50.7,9,0,16.4,29.7,50.7,9,0,16.4,29.7,50.7,9,0,16.4,29.7,50.7,9,0,16.4,29.7,50.7,9,0,18,5.3,17.3,2.3,74.6,19.6,"Census Tract 257.01, San Francisco County, California",257.01
115,2705,21.7,9.9,43.5,17.9,43.5,17.9,32.4,9.4,54,27.8,18.9,29.1,9.4,54,27.8,18.9,29.1,9.4,54,27.8,18.9,29.1,9.4,54,27.8,18.9,29.1,9.4,54,27.8,18.9,29.1,14.6,6.9,24.1,5,68.5,29,"Census Tract 257.02, San Francisco County, California",257.02
116,1468,16.3,15.3,38.3,29.2,38.3,29.2,38.3,9.6,36.3,9.1,12.9,3.6,9.6,36.3,9.1,12.9,3.6,9.6,36.3,9.1,12.9,3.6,9.6,36.3,9.1,12.9,3.6,9.6,36.3,9.1,12.9,3.6,22,1.6,12.3,3.3,68.4,15.6,"Census Tract 258, San Francisco County, California",258.0
117,3104,12.4,10,32.9,27.5,32.9,27.5,42.4,17.8,35.4,28.4,30.8,10.3,17.8,35.4,28.4,30.8,10.3,17.8,35.4,28.4,30.8,10.3,17.8,35.4,28.4,30.8,10.3,17.8,35.4,28.4,30.8,10.3,17.7,5.5,19.5,7.4,77.6,26.9,"Census Tract 259, San Francisco County, California",259.0
118,4179,14.8,8.7,27.5,24.3,27.5,24.3,44.4,21.1,48.7,31.7,23.5,16.9,21.1,48.7,31.7,23.5,16.9,21.1,48.7,31.7,23.5,16.9,21.1,48.7,31.7,23.5,16.9,21.1,48.7,31.7,23.5,16.9,15,8.1,20.1,9,76.5,29.1,"Census Tract 260.01, San Francisco County, California",260.01
119,3625,13.4,13.9,6.6,36.5,6.6,36.5,55.8,18.8,25.5,9.6,12.1,36.6,18.8,25.5,9.6,12.1,36.6,18.8,25.5,9.6,12.1,36.6,18.8,25.5,9.6,12.1,36.6,18.8,25.5,9.6,12.1,36.6,10.5,4.1,15.9,5.8,72.7,21.6,"Census Tract 260.02, San Francisco County, California",260.02
120,3476,18.5,11.1,25,25.1,25,25.1,68.5,3.2,25.8,15.5,21.4,18.9,3.2,25.8,15.5,21.4,18.9,3.2,25.8,15.5,21.4,18.9,3.2,25.8,15.5,21.4,18.9,3.2,25.8,15.5,21.4,18.9,20.4,4.1,13.1,7.7,70.4,20.9,"Census Tract 260.03, San Francisco County, California",260.03
121,2840,14.9,9.6,22.4,29.5,22.4,29.5,37.6,12.3,20.1,32.1,17.3,17.2,12.3,20.1,32.1,17.3,17.2,12.3,20.1,32.1,17.3,17.2,12.3,20.1,32.1,17.3,17.2,12.3,20.1,32.1,17.3,17.2,17.5,6.7,15.4,6.4,75.5,21.8,"Census Tract 260.04, San Francisco County, California",260.04
122,4627,11.9,6.6,19.4,30.8,19.4,30.8,49,16.7,34.5,35.9,17.5,19.5,16.7,34.5,35.9,17.5,19.5,16.7,34.5,35.9,17.5,19.5,16.7,34.5,35.9,17.5,19.5,16.7,34.5,35.9,17.5,19.5,18.2,7,21.2,4.3,81.5,25.5,"Census Tract 261, San Francisco County, California",261.0
123,5397,16.3,9.3,33.3,25.4,33.3,25.4,50.8,15.9,30.1,32.4,23.9,21.8,15.9,30.1,32.4,23.9,21.8,15.9,30.1,32.4,23.9,21.8,15.9,30.1,32.4,23.9,21.8,15.9,30.1,32.4,23.9,21.8,17.8,4.3,21.9,5,74.4,26.8,"Census Tract 262, San Francisco County, California",262.0
124,3035,21.7,5.6,30.2,28.9,30.2,28.9,46.5,9,39.8,8.3,14.9,8.9,9,39.8,8.3,14.9,8.9,9,39.8,8.3,14.9,8.9,9,39.8,8.3,14.9,8.9,9,39.8,8.3,14.9,8.9,20.1,7.2,13.2,3.2,72.7,16.4,"Census Tract 263.01, San Francisco County, California",263.01
125,3148,11.1,6.8,20.4,22.9,20.4,22.9,66.4,13.2,58.2,46.9,26.5,6.4,13.2,58.2,46.9,26.5,6.4,13.2,58.2,46.9,26.5,6.4,13.2,58.2,46.9,26.5,6.4,13.2,58.2,46.9,26.5,6.4,21.3,4.7,26.5,6.8,82.1,33.3,"Census Tract 263.02, San Francisco County, California",263.02
126,3695,13.3,12.3,35.9,26.1,35.9,26.1,46.2,12.8,33.5,31.5,18.7,19,12.8,33.5,31.5,18.7,19,12.8,33.5,31.5,18.7,19,12.8,33.5,31.5,18.7,19,12.8,33.5,31.5,18.7,19,17.3,6.7,20.1,4.2,74.4,24.3,"Census Tract 263.03, San Francisco County, California",263.03
127,2842,16.9,16.3,32.4,34.4,32.4,34.4,58.9,5,13,7.7,11.5,1.8,5,13,7.7,11.5,1.8,5,13,7.7,11.5,1.8,5,13,7.7,11.5,1.8,5,13,7.7,11.5,1.8,17.8,5.6,8.7,0.3,66.9,9,"Census Tract 264.01, San Francisco County, California",264.01
