,Total  Estimate  Population 25 years and over,Total  Estimate  Less than 9th grade,"Total  Estimate  9th to 12th grade, no diploma",Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  High school graduate (includes equivalency),Total  Estimate  Some college or associate's degree,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,Total  Estimate  Bachelor's degree or higher,"Total  Estimate  Some college, no degree",Total  Estimate  Associate's degree,Total  Estimate  Bachelor's degree,Total  Estimate  Graduate or professional degree,Total  Estimate  Percent high school graduate or higher,Total  Estimate  Percent bachelor's degree or higher,Name,tract
128,2861,10.1,10.1,21.6,28,21.6,28,49,22.4,37.8,19.9,27.4,6.1,22.4,37.8,19.9,27.4,6.1,22.4,37.8,19.9,27.4,6.1,22.4,37.8,19.9,27.4,6.1,22.4,37.8,19.9,27.4,6.1,19,9.6,16.3,6.8,79.8,23.1,"Census Tract 264.02, San Francisco County, California",264.02
129,2903,21.2,15.1,54.9,34.6,54.9,34.6,35.2,7.3,23.1,23.7,4.4,23.9,7.3,23.1,23.7,4.4,23.9,7.3,23.1,23.7,4.4,23.9,7.3,23.1,23.7,4.4,23.9,7.3,23.1,23.7,4.4,23.9,11,3.3,13.6,1.2,63.8,14.8,"Census Tract 264.03, San Francisco County, California",264.03
130,1635,23.3,12.9,26.3,30.5,26.3,30.5,57.3,7,6.1,12.4,6.6,5.2,7,6.1,12.4,6.6,5.2,7,6.1,12.4,6.6,5.2,7,6.1,12.4,6.6,5.2,7,6.1,12.4,6.6,5.2,23.3,2.8,5.9,1.2,63.8,7.2,"Census Tract 264.04, San Francisco County, California",264.04
131,3536,0.4,0.8,8.1,4.2,8.1,4.2,22.7,69.2,89.8,87.8,71.2,41.4,69.2,89.8,87.8,71.2,41.4,69.2,89.8,87.8,71.2,41.4,69.2,89.8,87.8,71.2,41.4,69.2,89.8,87.8,71.2,41.4,8.4,4.3,38.8,43.1,98.8,81.9,"Census Tract 301.01, San Francisco County, California",301.01
132,3763,2.2,1.7,0,4.9,0,4.9,14.8,85.2,91.6,68.5,82.6,51.1,85.2,91.6,68.5,82.6,51.1,85.2,91.6,68.5,82.6,51.1,85.2,91.6,68.5,82.6,51.1,85.2,91.6,68.5,82.6,51.1,8.2,6.3,35.3,41.3,96.1,76.6,"Census Tract 301.02, San Francisco County, California",301.02
133,3230,6.8,2.1,6.4,12.1,6.4,12.1,21.8,71.8,78.5,67.9,48.6,19.7,71.8,78.5,67.9,48.6,19.7,71.8,78.5,67.9,48.6,19.7,71.8,78.5,67.9,48.6,19.7,71.8,78.5,67.9,48.6,19.7,13.5,9.4,33.6,22.4,91.1,56,"Census Tract 302.01, San Francisco County, California",302.01
134,3713,3.5,1.6,31,11.1,31,11.1,15,50.1,80.2,78.3,63.6,31.8,50.1,80.2,78.3,63.6,31.8,50.1,80.2,78.3,63.6,31.8,50.1,80.2,78.3,63.6,31.8,50.1,80.2,78.3,63.6,31.8,10.8,3.8,37.7,31.5,94.9,69.2,"Census Tract 302.02, San Francisco County, California",302.02
135,4709,2.9,2.8,16.7,5.7,16.7,5.7,36.7,33.3,80.9,82.4,62.4,45.9,33.3,80.9,82.4,62.4,45.9,33.3,80.9,82.4,62.4,45.9,33.3,80.9,82.4,62.4,45.9,33.3,80.9,82.4,62.4,45.9,14.9,4,37.5,32.2,94.3,69.7,"Census Tract 303.01, San Francisco County, California",303.01
136,2685,6,5.2,0,5.7,0,5.7,73.5,14.6,74.9,70.7,55.6,46.6,14.6,74.9,70.7,55.6,46.6,14.6,74.9,70.7,55.6,46.6,14.6,74.9,70.7,55.6,46.6,14.6,74.9,70.7,55.6,46.6,17.8,5.9,35.1,24.4,88.8,59.4,"Census Tract 303.02, San Francisco County, California",303.02
137,3789,5.8,2.3,39.6,7.5,39.6,7.5,45.5,14.9,73.2,79.4,66.8,52.2,14.9,73.2,79.4,66.8,52.2,14.9,73.2,79.4,66.8,52.2,14.9,73.2,79.4,66.8,52.2,14.9,73.2,79.4,66.8,52.2,13.8,2.9,38.6,29.1,91.9,67.6,"Census Tract 304, San Francisco County, California",304.0
138,2733,7.8,11.3,39.3,13.2,39.3,13.2,0,0,78,95,51,29.8,0,78,95,51,29.8,0,78,95,51,29.8,0,78,95,51,29.8,0,78,95,51,29.8,15,4.2,24.1,24.3,80.9,48.4,"Census Tract 305, San Francisco County, California",305.0
139,1593,3.2,0,25.6,16.3,25.6,16.3,50,15.4,28.7,70.5,75.6,42.3,15.4,28.7,70.5,75.6,42.3,15.4,28.7,70.5,75.6,42.3,15.4,28.7,70.5,75.6,42.3,15.4,28.7,70.5,75.6,42.3,12.1,4.3,35.7,28.4,96.8,64,"Census Tract 306, San Francisco County, California",306.0
140,4972,0.5,2.5,46.1,7.9,46.1,7.9,40.1,0,82.6,88,70.4,36.6,0,82.6,88,70.4,36.6,0,82.6,88,70.4,36.6,0,82.6,88,70.4,36.6,0,82.6,88,70.4,36.6,13.1,7.1,35.5,33.5,97.1,69,"Census Tract 307, San Francisco County, California",307.0
141,4313,6.4,2,22.1,10.4,22.1,10.4,38.5,33.3,60.3,89.5,61.4,51.9,33.3,60.3,89.5,61.4,51.9,33.3,60.3,89.5,61.4,51.9,33.3,60.3,89.5,61.4,51.9,33.3,60.3,89.5,61.4,51.9,9.2,7.7,35.7,28.6,91.6,64.3,"Census Tract 308, San Francisco County, California",308.0
142,5084,3.1,2.5,25.3,8.3,25.3,8.3,32.7,35.5,89.8,74.4,69.7,43.4,35.5,89.8,74.4,69.7,43.4,35.5,89.8,74.4,69.7,43.4,35.5,89.8,74.4,69.7,43.4,35.5,89.8,74.4,69.7,43.4,13.4,6.9,36.7,29.1,94.4,65.8,"Census Tract 309, San Francisco County, California",309.0
143,2384,2,6,3.4,12.4,3.4,12.4,75.8,20.8,57.6,51.3,53.9,25.1,20.8,57.6,51.3,53.9,25.1,20.8,57.6,51.3,53.9,25.1,20.8,57.6,51.3,53.9,25.1,20.8,57.6,51.3,53.9,25.1,23.6,9.1,27.6,19.2,91.9,46.8,"Census Tract 310, San Francisco County, California",310.0
144,5553,4.9,5.2,15.4,12.4,15.4,12.4,62.4,18.6,77.9,55.4,46.7,52.8,18.6,77.9,55.4,46.7,52.8,18.6,77.9,55.4,46.7,52.8,18.6,77.9,55.4,46.7,52.8,18.6,77.9,55.4,46.7,52.8,12.9,6.5,40.6,17.5,90,58.1,"Census Tract 311, San Francisco County, California",311.0
145,4248,19.9,11.9,27.3,22.9,27.3,22.9,67.9,4.8,50.1,45.2,19.5,19.4,4.8,50.1,45.2,19.5,19.4,4.8,50.1,45.2,19.5,19.4,4.8,50.1,45.2,19.5,19.4,4.8,50.1,45.2,19.5,19.4,11.4,2.9,25.3,5.6,68.2,30.9,"Census Tract 312.01, San Francisco County, California",312.01
146,1955,4.2,6.8,8.6,27.1,8.6,27.1,59.3,24.8,28.7,30.5,46.6,53.8,24.8,28.7,30.5,46.6,53.8,24.8,28.7,30.5,46.6,53.8,24.8,28.7,30.5,46.6,53.8,24.8,28.7,30.5,46.6,53.8,15.5,5.1,32.1,9.2,89.1,41.3,"Census Tract 312.02, San Francisco County, California",312.02
147,2733,6.8,9.4,10.4,18.3,10.4,18.3,65.6,17.1,48.6,22.2,44.3,25.1,17.1,48.6,22.2,44.3,25.1,17.1,48.6,22.2,44.3,25.1,17.1,48.6,22.2,44.3,25.1,17.1,48.6,22.2,44.3,25.1,22.9,6.1,25.8,10.7,83.7,36.5,"Census Tract 313.01, San Francisco County, California",313.01
148,4294,12.9,10.3,44.1,13.6,44.1,13.6,37.6,7.3,56.5,40.4,20.7,13.9,7.3,56.5,40.4,20.7,13.9,7.3,56.5,40.4,20.7,13.9,7.3,56.5,40.4,20.7,13.9,7.3,56.5,40.4,20.7,13.9,22.8,8.3,26.9,5.2,76.9,32.1,"Census Tract 313.02, San Francisco County, California",313.02
149,4228,6.9,6.4,15.7,28,15.7,28,66.5,6.3,32.4,24.8,31.2,14.7,6.3,32.4,24.8,31.2,14.7,6.3,32.4,24.8,31.2,14.7,6.3,32.4,24.8,31.2,14.7,6.3,32.4,24.8,31.2,14.7,21,9.6,23.6,4.4,86.7,28.1,"Census Tract 314, San Francisco County, California",314.0
150,3239,1.4,9.3,4.6,15.3,4.6,15.3,81.1,14.3,58.3,57.6,31.3,35.9,14.3,58.3,57.6,31.3,35.9,14.3,58.3,57.6,31.3,35.9,14.3,58.3,57.6,31.3,35.9,14.3,58.3,57.6,31.3,35.9,16.2,13.1,32.1,12.6,89.3,44.7,"Census Tract 326.01, San Francisco County, California",326.01
151,3302,5.6,3.9,22.8,16.5,22.8,16.5,38.5,26.8,67.2,44.9,48.5,21.9,26.8,67.2,44.9,48.5,21.9,26.8,67.2,44.9,48.5,21.9,26.8,67.2,44.9,48.5,21.9,26.8,67.2,44.9,48.5,21.9,19.7,9.3,31.3,13.6,90.6,45,"Census Tract 326.02, San Francisco County, California",326.02
152,4979,8.8,6.6,22.1,11,22.1,11,50.7,24.2,82.9,79.5,39.4,33.9,24.2,82.9,79.5,39.4,33.9,24.2,82.9,79.5,39.4,33.9,24.2,82.9,79.5,39.4,33.9,24.2,82.9,79.5,39.4,33.9,13.6,5,33.8,21.2,84.6,55,"Census Tract 327, San Francisco County, California",327.0
153,3722,9.5,11.6,0,15.7,0,15.7,73.8,9,53.7,52.9,55.2,20.3,9,53.7,52.9,55.2,20.3,9,53.7,52.9,55.2,20.3,9,53.7,52.9,55.2,20.3,9,53.7,52.9,55.2,20.3,12.9,6.7,28.6,15.1,79,43.7,"Census Tract 328.01, San Francisco County, California",328.01
154,3051,12.6,4.7,24,19.3,24,19.3,58.9,0,72.2,42.2,44.6,35.9,0,72.2,42.2,44.6,35.9,0,72.2,42.2,44.6,35.9,0,72.2,42.2,44.6,35.9,0,72.2,42.2,44.6,35.9,7,10.7,30.9,14.9,82.8,45.8,"Census Tract 328.02, San Francisco County, California",328.02
155,4006,4.7,9,10.8,13.2,10.8,13.2,53.1,36.1,76.3,50.2,46.9,25.8,36.1,76.3,50.2,46.9,25.8,36.1,76.3,50.2,46.9,25.8,36.1,76.3,50.2,46.9,25.8,36.1,76.3,50.2,46.9,25.8,18.6,6.9,33.7,14,86.3,47.6,"Census Tract 329.01, San Francisco County, California",329.01
156,2681,14.9,7,6,11.2,6,11.2,30.4,51.3,81.6,49.4,36.2,18.9,51.3,81.6,49.4,36.2,18.9,51.3,81.6,49.4,36.2,18.9,51.3,81.6,49.4,36.2,18.9,51.3,81.6,49.4,36.2,18.9,19.5,4.9,26.8,15.7,78.1,42.5,"Census Tract 329.02, San Francisco County, California",329.02
157,5791,5,5.6,10.3,14.6,10.3,14.6,61.6,24.2,65.9,61.3,55,32.5,24.2,65.9,61.3,55,32.5,24.2,65.9,61.3,55,32.5,24.2,65.9,61.3,55,32.5,24.2,65.9,61.3,55,32.5,13.1,8.4,36,17.3,89.4,53.3,"Census Tract 330, San Francisco County, California",330.0
158,2842,1.5,6.3,41.1,10.3,41.1,10.3,50,8.9,78.6,78.6,56.6,45.2,8.9,78.6,78.6,56.6,45.2,8.9,78.6,78.6,56.6,45.2,8.9,78.6,78.6,56.6,45.2,8.9,78.6,78.6,56.6,45.2,11.4,9.5,38.8,22.2,92.2,61,"Census Tract 331, San Francisco County, California",331.0
159,876,3.4,2.4,40.3,18.6,40.3,18.6,53.4,4,79.5,61.8,51.6,22.3,4,79.5,61.8,51.6,22.3,4,79.5,61.8,51.6,22.3,4,79.5,61.8,51.6,22.3,4,79.5,61.8,51.6,22.3,20.9,1.4,30.3,23.1,94.2,53.3,"Census Tract 332.01, San Francisco County, California",332.01
160,1778,4.9,4.3,8.4,16.6,8.4,16.6,82,8.2,52.5,52.9,43.6,45.6,8.2,52.5,52.9,43.6,45.6,8.2,52.5,52.9,43.6,45.6,8.2,52.5,52.9,43.6,45.6,8.2,52.5,52.9,43.6,45.6,19,7.5,22.7,25,90.8,47.6,"Census Tract 332.03, San Francisco County, California",332.03
161,2135,0,2.1,7.8,16.7,7.8,16.7,55.3,22.7,48.4,68.8,70.1,44,22.7,48.4,68.8,70.1,44,22.7,48.4,68.8,70.1,44,22.7,48.4,68.8,70.1,44,22.7,48.4,68.8,70.1,44,14.9,9.4,41.3,15.6,97.9,57,"Census Tract 332.04, San Francisco County, California",332.04
162,5990,11.1,6.8,30.5,14.1,30.5,14.1,32.2,16.3,73.6,56.9,42.8,19.1,16.3,73.6,56.9,42.8,19.1,16.3,73.6,56.9,42.8,19.1,16.3,73.6,56.9,42.8,19.1,16.3,73.6,56.9,42.8,19.1,14.6,6.7,32.7,14,82.1,46.7,"Census Tract 351, San Francisco County, California",351.0
163,3978,14.4,5,20.5,16.2,20.5,16.2,40.6,27.3,45.3,43,29.1,20.6,27.3,45.3,43,29.1,20.6,27.3,45.3,43,29.1,20.6,27.3,45.3,43,29.1,20.6,27.3,45.3,43,29.1,20.6,22.3,8.9,24.1,9.2,80.6,33.3,"Census Tract 352.01, San Francisco County, California",352.01
164,3334,10.9,2.5,14,15.3,14,15.3,35,44.2,71.9,39,34.3,29.8,44.2,71.9,39,34.3,29.8,44.2,71.9,39,34.3,29.8,44.2,71.9,39,34.3,29.8,44.2,71.9,39,34.3,29.8,14,11.2,32.5,13.6,86.6,46.1,"Census Tract 352.02, San Francisco County, California",352.02
165,5533,11,9.7,28.4,21,28.4,21,51.2,16.9,59.4,52.2,26.1,27.3,16.9,59.4,52.2,26.1,27.3,16.9,59.4,52.2,26.1,27.3,16.9,59.4,52.2,26.1,27.3,16.9,59.4,52.2,26.1,27.3,14.9,5.7,30.2,7.5,79.3,37.7,"Census Tract 353, San Francisco County, California",353.0
166,4596,13.7,6.7,32.9,21.5,32.9,21.5,44.5,17.1,83,56.9,26.9,21.1,17.1,83,56.9,26.9,21.1,17.1,83,56.9,26.9,21.1,17.1,83,56.9,26.9,21.1,17.1,83,56.9,26.9,21.1,10.4,7.8,28.5,11.4,79.7,39.9,"Census Tract 354, San Francisco County, California",354.0
167,3493,5.8,4,17.1,11.9,17.1,11.9,66.2,13.3,73.8,60.7,52.8,25.4,13.3,73.8,60.7,52.8,25.4,13.3,73.8,60.7,52.8,25.4,13.3,73.8,60.7,52.8,25.4,13.3,73.8,60.7,52.8,25.4,15.8,6.8,32.7,23,90.1,55.7,"Census Tract 401, San Francisco County, California",401.0
168,4073,11.3,2.7,3.5,5.9,3.5,5.9,46.3,47.3,84.9,65.8,46.9,30.2,47.3,84.9,65.8,46.9,30.2,47.3,84.9,65.8,46.9,30.2,47.3,84.9,65.8,46.9,30.2,47.3,84.9,65.8,46.9,30.2,14.4,6.1,36.4,23.1,85.9,59.5,"Census Tract 402, San Francisco County, California",402.0
169,3018,6.6,4.5,18.6,7.1,18.6,7.1,53.5,27.9,69,65.1,61.6,47.1,27.9,69,65.1,61.6,47.1,27.9,69,65.1,61.6,47.1,27.9,69,65.1,61.6,47.1,27.9,69,65.1,61.6,47.1,12.4,8.1,36.5,24.8,88.8,61.4,"Census Tract 426.01, San Francisco County, California",426.01
170,2658,5.2,14.1,5.3,5,5.3,5,46.4,40.3,88.4,65.6,45.2,40.3,40.3,88.4,65.6,45.2,40.3,40.3,88.4,65.6,45.2,40.3,40.3,88.4,65.6,45.2,40.3,40.3,88.4,65.6,45.2,40.3,12.2,4.1,39.9,19.6,80.7,59.4,"Census Tract 426.02, San Francisco County, California",426.02
171,4772,9,5.4,3.1,9.2,3.1,9.2,49.7,26.7,67,66.2,42.7,22.6,26.7,67,66.2,42.7,22.6,26.7,67,66.2,42.7,22.6,26.7,67,66.2,42.7,22.6,26.7,67,66.2,42.7,22.6,17,7.5,36.7,15.2,85.6,51.9,"Census Tract 427, San Francisco County, California",427.0
172,1696,1.1,1.6,0,6.2,0,6.2,50.6,38.5,100,84.8,82.9,64.1,38.5,100,84.8,82.9,64.1,38.5,100,84.8,82.9,64.1,38.5,100,84.8,82.9,64.1,38.5,100,84.8,82.9,64.1,7.4,4.8,34.8,44.2,97.3,79,"Census Tract 428, San Francisco County, California",428.0
173,3432,11.6,1.4,5.6,12.2,5.6,12.2,60.3,34.2,88.9,76.2,41.4,10,34.2,88.9,76.2,41.4,10,34.2,88.9,76.2,41.4,10,34.2,88.9,76.2,41.4,10,34.2,88.9,76.2,41.4,10,11.3,6,34.5,23.1,87.1,57.6,"Census Tract 451, San Francisco County, California",451.0
174,4959,9.7,7,6.9,11.1,6.9,11.1,44.3,42.5,73.7,64.5,49.4,23.4,42.5,73.7,64.5,49.4,23.4,42.5,73.7,64.5,49.4,23.4,42.5,73.7,64.5,49.4,23.4,42.5,73.7,64.5,49.4,23.4,14.3,5.1,32.2,20.5,83.3,52.8,"Census Tract 452, San Francisco County, California",452.0
175,4217,11,4.2,13.7,10.9,13.7,10.9,63.5,22.8,69.8,61.7,36.4,14.9,22.8,69.8,61.7,36.4,14.9,22.8,69.8,61.7,36.4,14.9,22.8,69.8,61.7,36.4,14.9,22.8,69.8,61.7,36.4,14.9,16.6,11.8,27.8,17.7,84.8,45.6,"Census Tract 476, San Francisco County, California",476.0
176,2891,10.3,5.7,23.4,9.9,23.4,9.9,38.2,5.9,75.4,56.2,48.2,25.6,5.9,75.4,56.2,48.2,25.6,5.9,75.4,56.2,48.2,25.6,5.9,75.4,56.2,48.2,25.6,5.9,75.4,56.2,48.2,25.6,15.5,7.9,30.6,20,84,50.7,"Census Tract 477.01, San Francisco County, California",477.01
177,3099,11.6,2.2,15.7,14.3,15.7,14.3,54.4,29.9,77.7,71.5,45.1,31.4,29.9,77.7,71.5,45.1,31.4,29.9,77.7,71.5,45.1,31.4,29.9,77.7,71.5,45.1,31.4,29.9,77.7,71.5,45.1,31.4,14,3.3,30.8,23.8,86.2,54.5,"Census Tract 477.02, San Francisco County, California",477.02
178,3164,8.7,6.3,10.4,19.4,10.4,19.4,72.5,17.1,59.8,52.2,42.7,44,17.1,59.8,52.2,42.7,44,17.1,59.8,52.2,42.7,44,17.1,59.8,52.2,42.7,44,17.1,59.8,52.2,42.7,44,12.6,5.4,26.7,20.9,85,47.6,"Census Tract 478.01, San Francisco County, California",478.01
179,3465,10.2,6.6,0,4.4,0,4.4,57.6,42.4,69.5,79.6,43,41.5,42.4,69.5,79.6,43,41.5,42.4,69.5,79.6,43,41.5,42.4,69.5,79.6,43,41.5,42.4,69.5,79.6,43,41.5,13.1,10.3,38.6,16.8,83.1,55.4,"Census Tract 478.02, San Francisco County, California",478.02
180,5343,8.9,1.5,11.5,13.1,11.5,13.1,71.5,10.2,53.5,56.7,37.1,27.3,10.2,53.5,56.7,37.1,27.3,10.2,53.5,56.7,37.1,27.3,10.2,53.5,56.7,37.1,27.3,10.2,53.5,56.7,37.1,27.3,20.8,11.2,29.2,15.3,89.6,44.5,"Census Tract 479.01, San Francisco County, California",479.01
181,3173,4.3,5.3,21.9,6,21.9,6,40.4,37.7,84.1,70.2,48,40.7,37.7,84.1,70.2,48,40.7,37.7,84.1,70.2,48,40.7,37.7,84.1,70.2,48,40.7,37.7,84.1,70.2,48,40.7,21.3,4.7,37,21.3,90.4,58.3,"Census Tract 479.02, San Francisco County, California",479.02
182,2132,0.4,0.6,5.7,4.4,5.7,4.4,21.4,72.9,88.8,86.6,71.4,74.7,72.9,88.8,86.6,71.4,74.7,72.9,88.8,86.6,71.4,74.7,72.9,88.8,86.6,71.4,74.7,72.9,88.8,86.6,71.4,74.7,8.1,1.3,62.1,23.1,99.1,85.3,"Census Tract 601, San Francisco County, California",601.0
183,2221,1.1,8.1,48.1,12.7,48.1,12.7,25.9,19.2,57.6,56.6,53.9,46.6,19.2,57.6,56.6,53.9,46.6,19.2,57.6,56.6,53.9,46.6,19.2,57.6,56.6,53.9,46.6,19.2,57.6,56.6,53.9,46.6,16.3,7.5,33.7,20.7,90.8,54.4,"Census Tract 604, San Francisco County, California",604.0
184,1489,12.6,13.6,32.1,34.3,32.1,34.3,42,0,4.5,19,14.7,31.5,0,4.5,19,14.7,31.5,0,4.5,19,14.7,31.5,0,4.5,19,14.7,31.5,0,4.5,19,14.7,31.5,21.8,1.5,15.6,0.5,73.7,16.1,"Census Tract 605.02, San Francisco County, California",605.02
185,4897,3,2.1,12.7,9.4,12.7,9.4,34.6,52.6,80.2,85.6,49.6,43.8,52.6,80.2,85.6,49.6,43.8,52.6,80.2,85.6,49.6,43.8,52.6,80.2,85.6,49.6,43.8,52.6,80.2,85.6,49.6,43.8,11.5,3.5,36.9,33.7,94.9,70.6,"Census Tract 607, San Francisco County, California",607.0
186,2243,11.4,3.4,17.8,21.4,17.8,21.4,52.1,18.3,39,57,29.5,21.1,18.3,39,57,29.5,21.1,18.3,39,57,29.5,21.1,18.3,39,57,29.5,21.1,18.3,39,57,29.5,21.1,22.7,4.5,27.2,9.4,85.2,36.6,"Census Tract 610, San Francisco County, California",610.0
187,3501,48.3,13.5,22.3,22,22.3,22,50.6,3.5,4.5,7.2,10,3,3.5,4.5,7.2,10,3,3.5,4.5,7.2,10,3,3.5,4.5,7.2,10,3,3.5,4.5,7.2,10,3,5.5,4.4,3.7,2.6,38.2,6.3,"Census Tract 611, San Francisco County, California",611.0
188,2256,24.2,9,22.2,22.3,22.2,22.3,32.7,0,9.2,21.6,19.4,5.6,0,9.2,21.6,19.4,5.6,0,9.2,21.6,19.4,5.6,0,9.2,21.6,19.4,5.6,0,9.2,21.6,19.4,5.6,23,6.7,9.2,5.7,66.8,14.8,"Census Tract 612, San Francisco County, California",612.0
189,4143,4.6,7.5,41.6,14.2,41.6,14.2,9.4,48.9,57.6,65.9,55.4,22.5,48.9,57.6,65.9,55.4,22.5,48.9,57.6,65.9,55.4,22.5,48.9,57.6,65.9,55.4,22.5,48.9,57.6,65.9,55.4,22.5,14.1,3.9,32.5,23.3,88,55.8,"Census Tract 614, San Francisco County, California",614.0
190,8951,0.8,2.9,5.5,9.8,5.5,9.8,25.2,38.7,77.3,65.6,73.1,58.5,38.7,77.3,65.6,73.1,58.5,38.7,77.3,65.6,73.1,58.5,38.7,77.3,65.6,73.1,58.5,38.7,77.3,65.6,73.1,58.5,10.4,4.4,39.1,32.5,96.3,71.7,"Census Tract 615.00, San Francisco County, California",615.0
191,256,3.5,3.1,0,13.3,0,13.3,100,0,100,28.1,62.2,64.9,0,100,28.1,62.2,64.9,0,100,28.1,62.2,64.9,0,100,28.1,62.2,64.9,0,100,28.1,62.2,64.9,9,0,53.9,17.2,93.4,71.1,"Census Tract 9802, San Francisco County, California",9802.0
192,21,0,0,0,0,0,0,100,0,-,-,100,-,0,-,-,100,-,0,-,-,100,-,0,-,-,100,-,0,-,-,100,-,0,0,100,0,100,100,"Census Tract 9803, San Francisco County, California",9803.0
193,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Census Tract 9804.01, San Francisco County, California",9804.01
194,500,25.8,5.2,0,42,0,42,0,100,50,5.5,0,0,100,50,5.5,0,0,100,50,5.5,0,0,100,50,5.5,0,0,100,50,5.5,0,0,15,2,10,0,69,10,"Census Tract 9805.01, San Francisco County, California",9805.01
195,209,0,0,0,21.5,0,21.5,100,0,0,100,17.9,0,0,0,100,17.9,0,0,0,100,17.9,0,0,0,100,17.9,0,0,0,100,17.9,0,47.4,5.3,11.5,14.4,100,25.8,"Census Tract 9806, San Francisco County, California",9806.0
196,314,0,0,-,10.2,-,10.2,-,-,95.1,66.3,0,-,-,95.1,66.3,0,-,-,95.1,66.3,0,-,-,95.1,66.3,0,-,-,95.1,66.3,0,-,12.7,2.9,46.8,27.4,100,74.2,"Census Tract 9809, San Francisco County, California",9809.0
